Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2592,24,4,14,49.30436270903817,129.1165358059435,87.07085478468998,6.83899548043961,116.70469063795481,173.1063597094073,7576.45505961552,12125.46,6322.0049165782475,886.4999987902686,1181.999998386929,0.0,-172610.00867578515,-4.313349134481965e6,-9991.94957267696,83354.41631791514,0.0
2593,1,5,14,39.94000748854557,144.9376800290674,105.9213786838748,9.169826377865457,121.58587266713887,198.24044898231932,11056.353771558004,12310.7,1660.3461727198323,1569.999999999969,270.66663922416274,0.0,-320005.8659884338,-4.1816240343536604e6,-689.1882428876997,-103231.62897028722,0.0
2594,2,5,14,39.94000748854557,146.66571461497912,108.5134304298359,9.244129138703617,121.58587271633634,201.69651809482644,11436.439195964784,12542.18,1511.7407482951992,1569.9999999999739,270.6666392130976,0.0,-339439.99372802395,-4.234949358529801e6,-571.3407589566996,-108657.65746495296,0.0
2595,3,5,14,39.94000748854557,151.01490231316828,115.03721140752744,9.562576554080847,121.58587292721505,210.39489323398294,12393.053609850338,12861.9,874.8463343347962,1569.9999999999814,270.6666391667945,0.0,-391259.3759778412,-4.281825838425761e6,-191.33927103970746,-122314.10638198111,0.0
2596,4,5,14,39.94000748854557,153.28218297310184,118.43813237527249,9.574953530537151,121.58587293540418,214.92945454463657,12891.747546558921,13335.84,850.0923976228619,1569.9999999999836,270.66663916469776,0.0,-419923.2014481053,-4.401467547387989e6,-180.66450120276113,-129433.36763774592,0.0
2597,5,5,14,39.94000748854557,154.46408269322848,120.21098227764321,9.394804306808673,121.58587281609351,217.29325413198967,13151.709334921461,13956.1,1210.3906093017533,1569.9999999999848,270.6666391902852,0.0,-435313.555239124,-4.578867906512534e6,-366.2618270571802,-133144.5330190727,0.0
2598,6,5,14,39.94000748854557,156.74499487850898,123.63235076167909,9.279550360158044,121.5858727397569,221.85507859727147,13653.401592492644,14688.300000000001,1440.8983517567458,1569.9999999999864,270.66663920642856,0.0,-465883.56204627897,-4.7721497956134975e6,-519.0476835481877,-140306.59744826422,0.0
2599,7,5,14,39.94000748854557,160.5470097794026,129.33537287934536,9.410191678069227,121.58587282625922,229.45910829452953,14489.664057292572,15263.279999999999,1179.6158869255783,1569.9999999999884,270.6666391870707,0.0,-519383.6640829572,-4.889956391126239e6,-347.87385661864937,-152244.92405189984,0.0
2600,8,5,14,39.94000748854557,163.65782713922934,134.0015987155453,9.523997690263732,121.58587290160622,235.6807429239311,15173.895932702095,15719.9,952.0040114884354,1569.9999999999898,270.6666391699248,0.0,-565522.5611413722,-4.97837125314153e6,-226.57819887416917,-162012.89040175115,0.0
2601,9,5,14,39.94000748854557,163.51706614644493,133.7904574028539,9.425317275866544,121.58587283625491,235.39922101855626,15142.935233084527,15886.3,1149.364711128909,1569.9999999999895,270.6666391840835,0.0,-563388.8503031633,-5.030000672465231e6,-330.26023341731525,-161570.90102627952,0.0
