Time;jh;jd;jy;W;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price;Gen_VRES_01_g;Gen_Conv_01_g;Cons_Elec_01_d;Demand_GC_Elec_01_d_gc;Prod_H2_Green_e_in;Prod_H2_Green_q_elec_gc;Prod_H2_Green_h2_out;Prod_H2_Green_q_h2gc;Offtaker_Green_h2_in;Offtaker_Green_q_h2gc;Offtaker_Green_ep;Offtaker_Grey_ep;Offtaker_Grey_q_h2gc;Offtaker_Import_ep;Gen_VRES_01_obj;Gen_Conv_01_obj;Cons_Elec_01_obj;Demand_GC_Elec_01_obj;Prod_H2_Green_obj;Offtaker_Green_obj;Offtaker_Grey_obj;Offtaker_Import_obj
135;15;6;1;35.31054133;57.70686721;67.40712617;16.73526404;48.69656563;125.4831396;73.03979913;0;28.8;6.626771347;44.26712445;66.48384327;29.5114163;29.5114163;29.30537073;10.8483666;21.97902805;14.04876557;18.73168742;0;-191991.8281;0;-442465.1725;-376.2738629;11627.46501;-3547.834772;19567.76696;0
136;16;6;1;35.31054133;60.21663515;70.36548522;16.82986947;49.27359794;128.0805039;45.44698612;11.47571886;31.2;6.456445225;25.7909739;39.05347436;17.1939826;17.1939826;17.70877252;0.127672202;13.28157939;22.60581893;17.00218553;0;-123640.9701;-87.78356293;-475911.2734;-354.7421587;7232.311254;-12562.18711;7167.194828;0
137;17;6;1;35.31054133;60.2084427;70.10494032;16.91891136;49.296825;127.9079966;19.47727977;36.09893092;34;6.296131035;21.61910923;13.23666353;14.41273949;14.41273949;14.87796113;0.053592717;11.15847085;24.7399779;14.27754922;0;-53044.59166;-265.696232;-517790.7042;-335.0483557;-5369.51453;-10716.31946;472.9715324;0
138;18;6;1;35.31054133;59.94915363;69.28400693;16.95786662;49.34419355;127.3908566;8.115533237;42.68459163;35.2;6.225990236;15.48867528;1.941810749;10.32578352;10.32578352;10.10983538;0.209527422;7.582376538;28.47667594;10.0457189;0;-22038.77349;76.63645691;-536015.0693;-326.6067621;-8209.341583;-7134.84587;-10038.88047;0
139;19;6;1;35.31054133;59.83074906;68.77711471;20.61102595;49.38932298;127.0953042;0;48.31556882;34;0;14.28237066;9.51E-12;9.521580439;9.521580439;9.527494109;0.086377778;7.145620582;28.844509;9.386357698;0;0;288.7503846;-518244.1474;0;-8546.618701;-7013.230776;-11227.51248;0
140;20;6;1;35.31054133;59.92994071;69.08477193;20.61102595;49.36694671;127.2777473;0;47.23430739;31.2;0;16.00861207;9.51E-12;10.67240805;10.67240805;10.74830209;0.044628075;8.061226566;27.91521552;10.55510308;0;0;116.8497118;-476227.1215;0;-9631.044735;-7939.187568;-8488.335752;0
141;21;6;1;35.31054133;59.8650458;68.95235224;20.61102595;49.37243643;127.1850971;0;43.8015985;28;0;15.66464302;9.51E-12;10.44309534;10.44309534;10.11692898;0.248699845;7.587696732;28.49776739;10.14375694;0;0;208.7280201;-428238.4316;0;-9413.196823;-7134.957462;-9671.29519;0
142;22;6;1;35.31054133;60.0231991;69.41225665;20.61102595;49.34062094;127.4697305;0;39.84602374;24.8;0;14.98089171;9.51E-12;9.987261138;9.987261138;9.974639222;0.091136815;7.480979417;28.52314007;9.805399329;0;0;-32.64078078;-379858.9626;0;-9069.624485;-7216.507471;-10583.22175;0
143;23;6;1;35.31054133;59.90685421;69.08715498;20.61102595;49.36258757;127.2669198;0;38.28769595;22;0;16.15374089;9.51E-12;10.76916059;10.76916059;10.46394367;0.23930433;7.847957755;28.23340528;10.47277835;0;0;125.9293138;-337605.8231;0;-9730.773668;-7383.890652;-8929.137613;0
144;24;6;1;35.31054133;59.81221005;68.74257682;20.63039879;49.39083518;127.0633215;0;35.87673251;19.2;0;16.58816346;9.46E-12;11.05877564;11.05877564;10.86794896;0.174900049;8.15096172;27.89576034;10.84122049;0;0;237.8973562;-295176.5482;0;-9924.37562;-7870.799527;-7750.487136;0
145;1;7;1;28.34348787;59.77904927;68.66677654;20.61720293;49.3942011;127.0130294;0;36.51623488;20;0;16.38439134;1.18E-11;10.92292756;10.92292756;10.58300698;0.25210875;7.937255239;28.14893336;10.63520298;0;0;228.6834414;-246713.5948;0;-7861.332405;-6049.0774;-6662.720999;0
146;2;7;1;28.34348787;59.81221046;68.74257692;20.6304006;49.39083525;127.0633212;0;35.87673258;19.2;0;16.58816364;1.18E-11;11.05877576;11.05877576;10.86794926;0.17490185;8.150961943;27.89576028;10.84121825;0;0;190.9578779;-236935.8438;0;-7966.216533;-6317.825111;-6221.256604;0
147;3;7;1;28.34348787;59.87457376;68.89900983;20.65019718;49.38132805;127.1625485;0;35.01609539;18;0;16.98256374;1.17E-11;11.32170916;11.32170916;11.35584338;0.058044163;8.516882537;27.46943919;11.19881418;0;0;124.4828158;-222248.5917;0;-8172.750972;-6749.651552;-5473.911451;0
148;4;7;1;28.34348787;59.87457376;68.89900983;20.65019718;49.38132805;127.1625485;0;35.01609539;18;0;16.98256374;1.17E-11;11.32170916;11.32170916;11.35584338;0.058044163;8.516882537;27.46943919;11.19881418;0;0;124.4828158;-222248.5917;0;-8172.750972;-6749.651552;-5473.911451;0
149;5;7;1;28.34348787;59.97767905;69.23116696;18.36309094;49.39739533;127.369999;3.246213295;34.56567317;20;3.23445416;17.82665996;9.66E-10;11.88443997;11.88443997;12.16620065;8.99E-07;9.124650487;26.79447274;11.82949444;0;-7208.056465;21.86810087;-246600.9976;-75.9345818;-8644.169105;-7257.459404;-4223.703481;0
